product_name,brands,countries,quantity,nutriscore_grade,ingredients_text,energy_kcal
Crunchy Peanut Butter Chocolate,Schogetten,['en:romania'],100 g,e,"Sugar, Milk, Palm oil, Cocoa butter, Peanuts, Chocolate whey, Cream, Soy flour, Soy lecithin, Natural peanut flavor, Salt, Lactose.",560.0
Muffins con pepitas de chocolate,Auchan,['en:spain'],,unknown,"WHEAT flour, fresh pasteurized EGGS from floor breeding 18.2%, sugar, sunflower oil with high oleic acid content, glucose syrup, dark chocolate 9.3% (cocoa mass, sugar, dextrose, emulsifier: lecithins (SOY), MILK proteins, raising agents: diphosphates, sodium carbonates, ammonium carbonates; flavors, emulsifiers: mono - and diglycerides of fatty acids, lecithins (sunflower); salt, thickener guar gum.",
Takis volcano,,['en:romania'],55g,e,"Făină de porumb precoaptă (origine: din UE), grasime vegetala (palmier), condimente reparate cu aromă de brânză şi ardei iute (origine: din UE) [ZER PRAF, maltodextrina, sare, arome, rentiatori de aromã (monoglutamat de sodiu, inozinat si guanillat disodic), PRAF DE BRANZA (0,4%)* ectori de aciditate (acetati de sodiu, acid citric), coloranti (extract de paprika, annatto bixiná), oxidanti (acid ascorbic, extracte de rozmarin, butilhidroxianisol, galat de propil, alfa-tocoferol, extract Ingat in tocoferol)], ulei vegetal (floarea-soarelui). &quot;In produsul final. Poate contine SOIA.",517.0
Albeni Bar Cake,Ülker,['en:montenegro'],30g,e,"Milk chocolate (sugar, cocoa butter, whole milk powder, cocoa mass, skimmed milk powder, emulsifiers (soy lecithin, ammonium phosphatides), natural vanilla flavouring), biscuit (wheat flour, sugar, vegetable oil (palm), glucose syrup, egg white powder, raising agents (sodium carbonates, ammonium carbonate), salt, skimmed milk powder, emulsifier (soy lecithin), flavouring, preservative (sodium metabisulphite)), caramel (glucose syrup, sweetened condensed milk, vegetable oil (palm), invert sugar syrup, sugar, humectants (glycerol), emulsifier (mono and diglycerides of vegetable fatty acids), egg white powder, salt, corn starch, flavourings)",438.0
Excellence Noir Prodigieux 90% Cacao,Lindt,"['en:algeria', 'en:austria', 'en:belgium', 'en:bulgaria', 'en:czech-republic', 'en:finland', 'en:france', 'en:french-polynesia', 'en:germany', 'en:ireland', 'en:italy', 'en:mauritius', 'en:morocco', 'en:netherlands', 'en:reunion', 'en:romania', 'en:singapore', 'en:spain', 'en:sweden', 'en:switzerland', 'en:tunisia', 'en:united-kingdom']",100 g,e,"Pâte de cacao, beurre de cacao, cacao maigre, sucre, vanille.",592.0
Prince Goût Chocolat,Lu,"['en:algeria', 'en:belgium', 'en:france', 'en:french-polynesia', 'en:germany', 'en:guadeloupe', 'en:hungary', 'en:luxembourg', 'en:martinique', 'en:morocco', 'en:new-caledonia', 'en:reunion', 'en:spain', 'en:switzerland', 'en:united-states']",100g,e,"Céréale 50,7 % (farine de BLÉ 35 %, farine de BLÉ complète 15,7 %), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5 %, sirop de glucose, amidon de BLE, poudre à lever (carbonate acide d'ammonium, carbonate acide de sodium, diphosphate disodique), émulsifiants (lécithine de SOJA, lecithine de tournesol), sel, LAIT écrémé en poudre, lactose et protéines de LAIT, arômes. PEUT CONTENIR OEUF.",467.0
Tonik,Bimo,['en:morocco'],23,e,"Coffret fourré au cacao (41,6%) et à la vanille (208) - Ingrédients Farine de blé, sucre, huile végétale non hydrogénée (huile de palme), filtrat de lait, poudre de cacao Émulsifiant à faible teneur en cacao (322) Lécithine de soja) Agent levant (5000) Sucre artificiel (vanilline) Sel Contient du lait, du blé (gluten) du soja",504.0
Sésame,Gerblé,"['en:belgium', 'en:bulgaria', 'en:france', 'en:switzerland']",230g,c,"Farine de blé 57%, sucre de canne roux, huile de colza, sésame toasté 10,6%, germe de blé 5,4%, farine complète de blé 5,4%, arôme naturel, magnésium, émulsifiant : lécithines, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), sel de mer, amidon de blé, vitamines (E, PP, B6, B1, B9).",467.0
Шоколад 85% какаова маса,J.D. Gross,"['en:austria', 'en:belgium', 'en:bulgaria', 'en:estonia', 'en:finland', 'en:france', 'en:germany', 'en:italy', 'en:lithuania', 'en:slovakia', 'en:slovenia', 'en:spain', 'en:united-kingdom']",100,d,"cocoa mass, fat reduced cocoa powder, cocoa butter, sugar, emulsifier: soya lecithins, vanilla extract,",4380.0
Henry’s,Henry's,['en:morocco'],42g,e,"Farine de froment, sucre, graisse végétale, sucre inverti, agents levants ( bicarbonate d'ammonium - bicarbonate de sodium), sel, arome.",440.0
,Maruja,"['en:algeria', 'en:cameroon', 'en:france', 'en:morocco', 'en:spain']",150 g,e,"sugar, cocoa butter, whole milk powder, cocoa mass, almonds, emulsifier (soya lecithin), flavoring",539.0
Organic 70% Dark Chocolate Bar,Green & Black's,"['en:france', 'en:ireland', 'en:sweden', 'en:united-kingdom']",90g,e,"cocoa mass #, cane sugar #, cocoa butter #, vanilla extract #, may contain nuts, milk,",580.0
KING COOKIES,Excelo,['en:morocco'],,e,دقيقالقمح،رقائق الشوكولاته20%[عجينة زيت النخلة.الكاكاو،سكر،دكستروز و مستحلب,483.0
Sable coco Henry s 42g,Henry's,['en:morocco'],42g,e,"Farine de _froment_, sucre, graisse végétale, noix de coco râpée, poudre de _lait_, poudre de _lactosérum_, sucre inverti, agents levants (bicarbonate d'ammonium - bicarbonate de Sodium), sel, arômes.",443.0
Tartine croustillante Authentique,"Barilla, Wasa","['en:france', 'en:italy', 'en:reunion', 'en:spain', 'en:switzerland']",275 g,a,"Farine complète de SEIGLE (77 g*), farine de SEIGLE (28 g*), levure, sel. Peut contenir des traces de LUPIN, LAIT, MOUTARDE, GRAINES DE SÉSAME et SOJA. *en g pour 100 g de produit.",336.0
Excellence Noir Intense 70% Cacao,Lindt,"['en:algeria', 'en:belgium', 'en:czech-republic', 'en:france', 'en:germany', 'en:guadeloupe', 'en:italy', 'en:morocco', 'en:reunion', 'en:spain', 'en:switzerland']",100 g,e,"Pâte de cacao, sucre, beurre de cacao, vanille.

Peut contenir des fruits à coque, du lait, du soja et des graines de sésame.",566.0
Lightly Sea Salted,Tyrrell's,"['en:france', 'en:germany', 'en:spain', 'en:united-kingdom']",150 g,c,"Potatoes, sunflower oil, sea salt. May contain Milk.",476.0
Dark chocolate,Green & Black's,"['en:belgium', 'en:france', 'en:ireland', 'en:united-kingdom']",90g,d,"pâte de cacao*, beurre de cacao*, cacao maigre en poudre*, sucre de canne*, extrait de vanille*, * ingrédients issus de l'agriculture biologique",607.0
Excellence Noir Puissant 85% Cacao,Lindt,"['en:austria', 'en:belgium', 'en:france', 'en:germany', 'en:italy', 'en:morocco', 'en:netherlands', 'en:reunion', 'en:spain', 'en:switzerland']",100g,e,"Pâte de cacao, cacao maigre, beurre de cacao, cassonade, vanille.

Peut contenir du lait, des fruits à coque, du soja et des graines de sésame.",584.0
Fourrés Chocolat Noir,Bjorg,"['en:france', 'en:luxembourg', 'en:switzerland']",225 g,d,"Farine de blé* 39%, Chocolat noir* 25% (pâte de cacao*, sucre de canne*, beurre de cacao*) Sucre de canne* roux non raffiné,  Farine complète de blé* 15%, Huile de tournesol oléique*,  Arôme naturel de vanille,  Lait* écrémé en poudre, Sel de mer, Poudres à lever: carbonates d'ammonium, carbonates de sodium Épaississant: gomme d'acacia* Antioxydant: extraits de romarin* Peut contenir des traces de soja, d'œufs, de fruits à coque, de graines de sésame et de moutarde.",481.0
